"PI_aux","PI_bar_aux","rhoI_aux","tempI_aux","P_rel_aux","vel_rel_aux","Omega_aux","Aint_aux","ht_liq_aux","ht_gas_aux","EI_liq_aux","EI_gas_aux","beta_aux","beta_max_aux","jump_grad_alpha_smooth_aux_l","mu_aux_l","mu_max_aux_l","kappa_aux_l","kappa_max_aux_l","jump_grad_press_aux_l","jump_grad_alpha_aux_l","jump_grad_dens_aux_l","jump_grad_press_smooth_aux_l","jump_grad_dens_smooth_aux_l","mu_aux_g","kappa_aux_g","mu_max_aux_g","kappa_max_aux_g","jump_grad_press_aux_g","jump_grad_dens_aux_g","jump_grad_press_smooth_aux_g","jump_grad_dens_smooth_aux_g","ObjectId","GlobalElementId","PedigreeElementId"
710432,710779,8.90608,15953.8,1.90812,3.66993e+06,0,10000,0,0,124777,60961.9,0.101224,0.101224,0.00162583,0.590362,0.101172,0.590362,0.590362,36686.8,0.00157044,0.0241923,36382.2,0.0230072,1.22909,1.22909,0.101645,1.22909,36622.1,0.0188647,36317,0.0185906,0,186,186
702575,702919,8.87231,15837.4,1.92308,3.63631e+06,0,10000,0,0,124234,60883.9,0.104427,0.104427,0.00114351,0.591778,0.104375,0.591778,0.591778,40158.4,0.00108988,0.0405876,39881,0.0389847,1.23053,1.23053,0.104848,1.23053,40095.4,0.0217764,39817.5,0.0215204,0,187,187
694799,695140,8.83862,15721.8,1.93818,3.60297e+06,0,10000,0,0,123706,60818.6,0.107626,0.107626,0.00067731,0.593195,0.107575,0.593195,0.593195,43560.4,0.000601083,0.0571862,43308.1,0.0556468,1.23197,1.23197,0.108048,1.23197,43498.9,0.0246698,43246.2,0.0244306,0,188,188
687111,687449,8.80506,15607.2,1.95339,3.56994e+06,0,10000,0,0,123194,60765.9,0.110819,0.110819,0.000379132,0.594613,0.110767,0.594613,0.594613,46905.2,0.00025212,0.0740407,46676.3,0.0725599,1.23341,1.23341,0.111241,1.23341,46845,0.0275542,46615.6,0.0273305,0,189,189
679517,679852,8.77165,15493.5,1.9687,3.53724e+06,0,10000,0,0,122700,60725.7,0.114001,0.114001,0.000461184,0.596031,0.11395,0.596031,0.596031,50204.6,0.000408275,0.091201,49997.2,0.0897743,1.23484,1.23484,0.114423,1.23484,50145.4,0.0304384,49937.5,0.0302292,0,190,190
672025,672355,8.73843,15380.9,1.98409,3.50492e+06,0,10000,0,0,122221,60698,0.117171,0.117171,0.000884382,0.597446,0.11712,0.597446,0.597446,53469.2,0.000932333,0.108713,53281.7,0.107337,1.23626,1.23626,0.117592,1.23626,53410.8,0.0333305,53222.9,0.0331346,0,191,191
664640,664966,8.70543,15269.5,1.99956,3.47299e+06,0,10000,0,0,121761,60682.6,0.120324,0.120324,0.00142472,0.598857,0.120273,0.598857,0.598857,56708.8,0.00147157,0.12662,56539.6,0.125289,1.23768,1.23768,0.120743,1.23768,56651,0.0362377,56481.4,0.0360542,0,192,192
657368,657690,8.67269,15159.5,2.01507,3.44149e+06,0,10000,0,0,121317,60679.4,0.123457,0.123457,0.00198172,0.600263,0.123406,0.600263,0.600263,59931.7,0.00202758,0.144955,59779.4,0.143667,1.23908,1.23908,0.123874,1.23908,59874.3,0.0391662,59721.7,0.0389942,0,193,193
650218,650535,8.64025,15050.9,2.03062,3.41045e+06,0,10000,0,0,120891,60688,0.126567,0.126567,0.00255689,0.601661,0.126516,0.601661,0.601661,63144.7,0.00260186,0.163748,63008.1,0.162499,1.24048,1.24048,0.126982,1.24048,63087.6,0.0421212,62950.7,0.0419598,0,194,194
643194,643506,8.60814,14943.8,2.04618,3.37989e+06,0,10000,0,0,120483,60708.2,0.129649,0.129649,0.00315156,0.603052,0.129599,0.603052,0.603052,66353.2,0.00319573,0.183018,66231,0.181805,1.24186,1.24186,0.130061,1.24186,66296.2,0.045106,66173.8,0.0449546,0,195,195
636303,636609,8.5764,14838.4,2.06173,3.34986e+06,0,10000,0,0,120093,60739.7,0.132701,0.132701,0.00376689,0.604432,0.132652,0.604432,0.604432,69560.3,0.00381034,0.202772,69451.6,0.201595,1.24323,1.24323,0.13311,1.24323,69503.4,0.0481227,69394.5,0.0479807,0,196,196
629551,629852,8.54508,14734.8,2.07725,3.32037e+06,0,10000,0,0,119721,60781.9,0.135718,0.135718,0.00440377,0.605799,0.13567,0.605799,0.605799,72767.2,0.00444657,0.223007,72671.1,0.221863,1.24458,1.24458,0.136123,1.24458,72710.3,0.0511712,72614,0.051038,0,197,197
622946,623241,8.51421,14633.1,2.09271,3.29146e+06,0,10000,0,0,119367,60834.6,0.138697,0.138697,0.0050628,0.607153,0.138649,0.607153,0.607153,75972.4,0.00510499,0.243702,75888.1,0.242591,1.24591,1.24591,0.139097,1.24591,75915.4,0.0542491,75831,0.0541244,0,198,198
616493,616782,8.48383,14533.3,2.10808,3.26317e+06,0,10000,0,0,119030,60897,0.141633,0.141633,0.00574417,0.60849,0.141586,0.60849,0.60849,79171.6,0.00578579,0.264821,79098.6,0.263743,1.24723,1.24723,0.142028,1.24723,79114.6,0.0573517,79041.4,0.0572351,0,199,199
