"alA_l","alpha_aux_l","alrhoA_g","alrhoA_l","alrhoEA_g","alrhoEA_l","alrhouA_g","alrhouA_l","area_aux","density_aux_g","density_aux_l","internal_energy_aux_g","internal_energy_aux_l","mach_aux_g","mach_aux_l","pressure_aux_g","pressure_aux_l","total_energy_aux_g","total_energy_aux_l","velocity_x_aux_g","velocity_x_aux_l","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
0.5,0.5,0.5,5,1.25e+06,250000,-2.72612e-12,-6.13542e-11,1,1,10,2.5e+06,500000,4.60798e-15,2.24034e-14,1e+06,1e+06,2.5e+06,500000,-5.45224e-12,-1.22708e-11,22,22,0.042,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-8.43582e-12,-3.58886e-11,1,1,10,2.5e+06,500000,1.42591e-14,1.31046e-14,1e+06,1e+06,2.5e+06,500000,-1.68716e-11,-7.17771e-12,23,23,0.044,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-3.18951e-12,-3.10855e-11,1,1,10,2.5e+06,500000,5.39125e-15,1.13508e-14,1e+06,1e+06,2.5e+06,500000,-6.37902e-12,-6.2171e-12,24,24,0.046,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-3.02561e-12,-4.03325e-11,1,1,10,2.5e+06,500000,5.11421e-15,1.47274e-14,1e+06,1e+06,2.5e+06,500000,-6.05122e-12,-8.0665e-12,25,25,0.048,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-3.56116e-12,-4.20667e-11,1,1,10,2.5e+06,500000,6.01947e-15,1.53606e-14,1e+06,1e+06,2.5e+06,500000,-7.12233e-12,-8.41334e-12,26,26,0.05,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-4.30211e-12,-2.58761e-11,1,1,10,2.5e+06,500000,7.2719e-15,9.44862e-15,1e+06,1e+06,2.5e+06,500000,-8.60422e-12,-5.17522e-12,27,27,0.052,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-7.7015e-14,-9.23263e-12,1,1,10,2.5e+06,500000,1.30179e-16,3.37128e-15,1e+06,1e+06,2.5e+06,500000,-1.5403e-13,-1.84653e-12,28,28,0.054,0,0
0.5,0.5,0.5,5,1.25e+06,250000,1.21186e-12,-7.78758e-12,1,1,10,2.5e+06,500000,2.04841e-15,2.84362e-15,1e+06,1e+06,2.5e+06,500000,2.42372e-12,-1.55752e-12,29,29,0.056,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-1.78632e-12,1.54664e-11,1,1,10,2.5e+06,500000,3.01943e-15,5.64753e-15,1e+06,1e+06,2.5e+06,500000,-3.57264e-12,3.09328e-12,30,30,0.058,0,0
0.5,0.5,0.5,5,1.25e+06,250000,3.2309e-12,8.03007e-12,1,1,10,2.5e+06,500000,5.46122e-15,2.93217e-15,1e+06,1e+06,2.5e+06,500000,6.4618e-12,1.60601e-12,31,31,0.06,0,0
0.5,0.5,0.5,5,1.25e+06,250000,9.0201e-14,1.39055e-11,1,1,10,2.5e+06,500000,1.52467e-16,5.07759e-15,1e+06,1e+06,2.5e+06,500000,1.80402e-13,2.78111e-12,32,32,0.062,0,0
0.5,0.5,0.5,5,1.25e+06,250000,2.34828e-13,-5.25002e-12,1,1,10,2.5e+06,500000,3.96932e-16,1.91704e-15,1e+06,1e+06,2.5e+06,500000,4.69657e-13,-1.05e-12,33,33,0.064,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-3.2606e-12,-9.30539e-12,1,1,10,2.5e+06,500000,5.51141e-15,3.39785e-15,1e+06,1e+06,2.5e+06,500000,-6.52119e-12,-1.86108e-12,34,34,0.066,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-1.57623e-12,-2.82436e-11,1,1,10,2.5e+06,500000,2.66431e-15,1.03131e-14,1e+06,1e+06,2.5e+06,500000,-3.15245e-12,-5.64872e-12,35,35,0.068,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-1.64072e-12,-1.9296e-11,1,1,10,2.5e+06,500000,2.77332e-15,7.04589e-15,1e+06,1e+06,2.5e+06,500000,-3.28143e-12,-3.8592e-12,36,36,0.07,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-5.68894e-12,-3.24731e-11,1,1,10,2.5e+06,500000,9.61607e-15,1.18575e-14,1e+06,1e+06,2.5e+06,500000,-1.13779e-11,-6.49462e-12,37,37,0.072,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-7.74191e-13,-3.47764e-11,1,1,10,2.5e+06,500000,1.30862e-15,1.26986e-14,1e+06,1e+06,2.5e+06,500000,-1.54838e-12,-6.95529e-12,38,38,0.074,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-5.52306e-12,-3.3455e-11,1,1,10,2.5e+06,500000,9.33567e-15,1.2216e-14,1e+06,1e+06,2.5e+06,500000,-1.10461e-11,-6.69099e-12,39,39,0.076,0,0
